# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
49            	smoothSolver	1.326540e-03	1.076890e-04	8	2.806090e-02	2.447320e-03	7	2.278940e-02	1.952420e-03	7	false	GAMG	9.263940e-03	4.897160e-05	4	true
50            	smoothSolver	1.263110e-03	1.020340e-04	8	2.721590e-02	2.315960e-03	7	2.200030e-02	1.859570e-03	7	false	GAMG	8.812730e-03	4.479170e-05	4	true
51            	smoothSolver	1.197180e-03	9.533750e-05	8	2.603640e-02	2.203850e-03	7	2.111560e-02	1.775820e-03	7	false	GAMG	8.390420e-03	4.059620e-05	4	true
52            	smoothSolver	1.126790e-03	8.784750e-05	8	2.462840e-02	2.127470e-03	7	2.005670e-02	1.688530e-03	7	false	GAMG	8.001360e-03	3.738470e-05	4	true
53            	smoothSolver	1.058490e-03	8.040680e-05	8	2.316150e-02	2.039580e-03	7	1.887300e-02	1.600650e-03	7	false	GAMG	7.635040e-03	3.571340e-05	4	true
54            	smoothSolver	9.920480e-04	9.902350e-05	7	2.184720e-02	1.928050e-03	7	1.778270e-02	1.511230e-03	7	false	GAMG	7.358180e-03	3.459930e-05	4	true
55            	smoothSolver	9.330570e-04	9.062110e-05	7	2.089700e-02	1.784350e-03	7	1.712000e-02	1.418120e-03	7	false	GAMG	7.160860e-03	3.388830e-05	4	true
56            	smoothSolver	8.873890e-04	8.358140e-05	7	2.017670e-02	1.650610e-03	7	1.664800e-02	1.337550e-03	7	false	GAMG	6.963980e-03	3.357260e-05	4	true
57            	smoothSolver	8.372690e-04	7.807760e-05	7	1.949150e-02	1.542680e-03	7	1.620640e-02	1.268920e-03	7	false	GAMG	6.731660e-03	3.188320e-05	4	true
58            	smoothSolver	7.890920e-04	7.450750e-05	7	1.870360e-02	1.468340e-03	7	1.550810e-02	1.194490e-03	7	false	GAMG	6.480360e-03	2.856050e-05	4	true
59            	smoothSolver	7.468230e-04	7.228710e-05	7	1.773710e-02	1.406880e-03	7	1.466150e-02	1.122280e-03	7	false	GAMG	6.222710e-03	2.682470e-05	4	true
60            	smoothSolver	7.152480e-04	7.038050e-05	7	1.676510e-02	1.334450e-03	7	1.382150e-02	1.056960e-03	7	false	GAMG	5.970770e-03	2.637450e-05	4	true
61            	smoothSolver	6.892380e-04	6.738190e-05	7	1.587050e-02	1.244520e-03	7	1.308460e-02	9.947460e-04	7	false	GAMG	5.748320e-03	2.630050e-05	4	true
62            	smoothSolver	6.660670e-04	6.406970e-05	7	1.505790e-02	1.152410e-03	7	1.249900e-02	9.365500e-04	7	false	GAMG	5.540310e-03	2.580810e-05	4	true
63            	smoothSolver	6.402180e-04	6.039740e-05	7	1.414260e-02	1.073340e-03	7	1.194960e-02	8.943480e-04	7	false	GAMG	5.327520e-03	2.456150e-05	4	true
64            	smoothSolver	6.073310e-04	5.677260e-05	7	1.321450e-02	1.007490e-03	7	1.133290e-02	8.562430e-04	7	false	GAMG	5.096150e-03	2.299710e-05	4	true
65            	smoothSolver	5.733010e-04	5.385710e-05	7	1.239590e-02	9.478260e-04	7	1.075360e-02	8.165380e-04	7	false	GAMG	4.858270e-03	2.182870e-05	4	true
66            	smoothSolver	5.421790e-04	5.133730e-05	7	1.169110e-02	8.892310e-04	7	1.024650e-02	7.759960e-04	7	false	GAMG	4.646430e-03	2.116400e-05	4	true
67            	smoothSolver	5.178760e-04	4.892810e-05	7	1.117160e-02	8.360370e-04	7	9.848580e-03	7.347540e-04	7	false	GAMG	4.458390e-03	2.058540e-05	4	true
68            	smoothSolver	4.976660e-04	4.684370e-05	7	1.069640e-02	7.937770e-04	7	9.514320e-03	9.513450e-04	6	false	GAMG	4.304380e-03	1.933290e-05	4	true
69            	smoothSolver	4.804210e-04	4.504020e-05	7	1.030820e-02	7.640720e-04	7	9.225010e-03	9.182320e-04	6	false	GAMG	4.183340e-03	1.880460e-05	4	true
70            	smoothSolver	4.663250e-04	4.357490e-05	7	9.988190e-03	7.426040e-04	7	9.047070e-03	8.968620e-04	6	false	GAMG	4.077950e-03	1.838660e-05	4	true
71            	smoothSolver	4.560160e-04	4.239580e-05	7	9.802960e-03	7.286830e-04	7	8.968920e-03	8.858770e-04	6	false	GAMG	3.988710e-03	1.802780e-05	4	true
72            	smoothSolver	4.470150e-04	4.134790e-05	7	9.726810e-03	7.235970e-04	7	8.949370e-03	8.830520e-04	6	false	GAMG	3.913850e-03	1.786040e-05	4	true
73            	smoothSolver	4.387390e-04	4.024010e-05	7	9.701820e-03	7.254200e-04	7	8.948010e-03	8.847030e-04	6	false	GAMG	3.858230e-03	1.786430e-05	4	true
