# Force and moment coefficients
# dragDir       : (9.84807509e-01 1.73649561e-01 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (-1.73649561e-01 9.84807509e-01 0.00000000e+00)
# rollAxis      : (9.84807509e-01 1.73649561e-01 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (-1.73649561e-01 9.84807509e-01 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e-01
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
5111            	-1.84834105e-02	-4.86121702e-02	3.01287597e-02	7.87409300e-01	4.00665083e-01	3.86744217e-01	6.96043336e-03	-3.93704650e-02	-9.24170525e-04	5.46087386e-21	-9.24170525e-04	9.24170525e-04
5112            	-1.84905858e-02	-4.86169680e-02	3.01263822e-02	7.87433502e-01	4.00683132e-01	3.86750369e-01	6.96638163e-03	-3.93716751e-02	-9.24529288e-04	5.46121102e-21	-9.24529288e-04	9.24529288e-04
5113            	-1.84977066e-02	-4.86217363e-02	3.01240297e-02	7.87457659e-01	4.00701101e-01	3.86756558e-01	6.97227151e-03	-3.93728830e-02	-9.24885330e-04	5.46154950e-21	-9.24885330e-04	9.24885330e-04
5114            	-1.85047725e-02	-4.86264741e-02	3.01217016e-02	7.87481757e-01	4.00718982e-01	3.86762775e-01	6.97810345e-03	-3.93740878e-02	-9.25238624e-04	5.46188866e-21	-9.25238624e-04	9.25238624e-04
5115            	-1.85117861e-02	-4.86311830e-02	3.01193968e-02	7.87505798e-01	4.00736780e-01	3.86769018e-01	6.98388123e-03	-3.93752899e-02	-9.25589307e-04	5.46222840e-21	-9.25589307e-04	9.25589307e-04
5116            	-1.85187525e-02	-4.86358663e-02	3.01171138e-02	7.87529801e-01	4.00754511e-01	3.86775289e-01	6.98961089e-03	-3.93764900e-02	-9.25937626e-04	5.46256900e-21	-9.25937626e-04	9.25937626e-04
5117            	-1.85256774e-02	-4.86405278e-02	3.01148504e-02	7.87553781e-01	4.00772190e-01	3.86781591e-01	6.99529955e-03	-3.93776891e-02	-9.26283871e-04	5.46291091e-21	-9.26283871e-04	9.26283871e-04
5118            	-1.85325666e-02	-4.86451707e-02	3.01126041e-02	7.87577748e-01	4.00789829e-01	3.86787920e-01	7.00095459e-03	-3.93788874e-02	-9.26628329e-04	5.46325460e-21	-9.26628329e-04	9.26628329e-04
5119            	-1.85394252e-02	-4.86497974e-02	3.01103722e-02	7.87601695e-01	4.00807431e-01	3.86794264e-01	7.00658319e-03	-3.93800848e-02	-9.26971261e-04	5.46360038e-21	-9.26971261e-04	9.26971261e-04
5120            	-1.85462578e-02	-4.86544090e-02	3.01081511e-02	7.87625601e-01	4.00824993e-01	3.86800608e-01	7.01219221e-03	-3.93812801e-02	-9.27312892e-04	5.46394838e-21	-9.27312892e-04	9.27312892e-04
